Date,code,股票代码_Stkcd,identity,close,change,
2019/11/6,C000001,1,平安银行,13.7,2.776%,
2019/11/5,C000001,1,平安银行,13.33,0.604%,
2019/11/4,C000001,1,平安银行,13.25,-0.376%,
2019/11/1,C000001,1,平安银行,13.3,2.623%,
2019/10/31,C000001,1,平安银行,12.96,-0.917%,
2019/10/30,C000001,1,平安银行,13.08,-2.895%,
2019/10/29,C000001,1,平安银行,13.47,0.522%,
,,,,,,
